"","Execution time","Iterations number","Final quality"
"1",2.36999999999989,2419,0.00819307371059218
"2",4.19500000000062,3292,0.000697010527509959
"3",6.16599999999926,3974,0.00976193062892965
"4",3.28800000000047,2890,0.00986278658004079
"5",3.78499999999985,3178,0.00564198436321969
"6",5.55699999999979,3852,0.00982016162336948
"7",4.80500000000029,3590,0.00504757769277417
"8",0.954999999999927,1504,0.00528695032300311
"9",1.58799999999974,2044,0.00875417029906725
"10",3.37700000000041,3017,0.00979590932858489
"11",8.78299999999945,4732,0.0064814540913384
"12",3.07500000000073,2835,0.00908765026482662
"13",3.64499999999953,3076,0.00937618017745775
"14",2.25200000000041,2410,0.00464062736471798
"15",3.41100000000006,3050,0.00772672307489698
"16",2.77999999999975,2685,0.00848256853010816
"17",5.23999999999978,3712,0.00962507295309392
"18",2.42500000000018,2460,0.00492235454583174
"19",4.17000000000007,3333,0.00273294516797895
"20",1.80599999999959,2131,0.00976635439807407
