"","Execution time","Iterations number","Final quality"
"1",3.72599999999966,3005,0.00964144668497351
"2",4.84100000000035,3535,0.00498323882293927
"3",2.90799999999945,2725,0.00650572475889452
"4",4.02800000000025,3189,0.00972692917421659
"5",4.27099999999973,3316,0.00923535792305135
"6",8.15800000000036,4521,0.00959691516847586
"7",4.96599999999944,3477,0.00666104721360207
"8",4.67300000000068,3498,0.00983297544140747
"9",4.5,3456,0.00253147469373392
"10",4.66199999999935,3538,0.00848426826639671
"11",3.87700000000041,3201,0.00455832734596007
"12",3.78499999999985,3201,0.00598297871879911
"13",1.88500000000022,2243,0.00870755801671661
"14",6.12899999999991,4034,0.00241232291249823
"15",3.55299999999988,3078,0.00936548365235364
"16",4.76500000000033,3558,0.00433698986556945
"17",6.36799999999948,4080,0.00748066798684905
"18",4.53200000000015,3512,0.00100107439922718
"19",5.07099999999991,3498,0.00880967830839383
"20",8.00600000000031,4266,0.00799611101659448
