"","Execution time","Iterations number","Final quality"
"1",0.619999999998981,3881,0.000222551125798276
"2",0.520000000000437,3422,0.000537882612634988
"3",0.369999999998981,2518,0.000656790910060323
"4",0.720000000001164,4422,0.000698108217957127
"5",0.380000000001019,2803,0.000643486626115575
"6",1.21999999999753,7259,0.000548762769573941
"7",0.590000000000146,4003,0.000965424832449102
"8",0.470000000001164,3324,5.16862985531219e-05
"9",0.970000000001164,6044,0.000350941912502734
"10",1.38999999999942,7917,0.000827683747788299
"11",0.610000000000582,4142,0.000782201175764996
"12",1.39999999999782,8067,0.000408510314622745
"13",0.770000000000437,4876,0.000637247897659066
"14",0.860000000000582,5255,0.000752896950277915
"15",0.529999999998836,3617,0.000248628295816289
"16",0.450000000000728,3086,9.31699091406557e-05
"17",1.63999999999942,9098,7.8060759413745e-05
"18",0.720000000001164,4791,0.000528819534201475
"19",2.70999999999913,13038,2.44739134931393e-05
"20",0.590000000000146,4067,0.000626000749871736
