"","Execution time","Iterations number","Final quality"
"1",0.819999999999709,3956,7.07704955829058e-05
"2",0.360000000000582,1804,6.67761162187475e-05
"3",3.86000000000058,14645,8.07132569562441e-05
"4",35.510000000002,45700,5.73731281985346e-05
"5",2.66999999999825,11219,9.95112799309084e-05
"6",1.70999999999913,8036,4.54731034746914e-05
"7",3.22999999999956,13104,1.09740543763337e-05
"8",3.13000000000102,12845,4.11553709014356e-05
"9",3.36000000000058,13507,6.07057829160595e-05
"10",3.2400000000016,13057,1.51330365767421e-05
"11",13.6399999999994,30270,7.76649812248564e-05
"12",33.619999999999,46209,6.45492452715501e-05
"13",8.11000000000058,23782,7.50534505318257e-05
"14",1.69000000000233,7938,4.14131939585616e-05
"15",6.85999999999694,21772,3.89475284023888e-05
"16",5.36000000000058,18991,8.10811541605005e-05
"17",8.42000000000189,24949,5.45750748397467e-05
"18",2.61999999999898,11261,7.27778635845056e-05
"19",4.52000000000044,16890,3.68530089520647e-05
"20",14.7799999999988,33582,6.93551362740408e-05
